"Strike","Last","Chg","Bid","Ask","Vol","OI"
175,0.03,-0.02,0.02,0.03,7603,16970
180,0.06,0,0.03,0.04,20,12125
185,0.04,-0.04,0.04,0.06,1388,24926
190,0.08,-0.06,0.07,0.09,408,10714
192.5,0.13,-0.03,0.1,0.11,110,19283
193.5,0.13,-0.06,0.11,0.13,351,2605
194,0.16,-0.07,0.12,0.14,149,3746
194.5,0.17,-0.03,0.13,0.15,47,2489
195,0.16,-0.09,0.14,0.16,702,7243
195.5,0.2,-0.06,0.15,0.17,14,2867
196,0.21,-0.07,0.16,0.18,379,2634
196.5,0.19,-0.14,0.17,0.19,37,1648
197,0.2,-0.14,0.18,0.21,360,1257
197.5,0.23,-0.12,0.2,0.23,737,8525
198,0.23,-0.16,0.22,0.25,75682,57865
198.5,0.26,-0.11,0.24,0.27,210,2770
199,0.32,-0.12,0.26,0.29,383,4910
199.5,0.36,-0.15,0.29,0.31,236,3026
200,0.36,-0.16,0.31,0.34,5928,28884
200.5,0.41,-0.16,0.34,0.37,29,1870
201,0.46,-0.17,0.39,0.4,598,13835
201.5,0.53,-0.12,0.41,0.44,348,3573
202,0.49,-0.25,0.45,0.48,15790,23245
202.5,0.55,-0.26,0.5,0.53,859,5569
203,0.6,-0.23,0.55,0.58,32355,8496
203.5,0.69,-0.26,0.6,0.64,271,3479
204,0.7,-0.35,0.67,0.7,61003,23662
204.5,0.8,-0.35,0.74,0.77,1221,4505
205,0.84,-0.38,0.82,0.85,13645,45056
205.5,0.94,-0.41,0.89,0.93,2811,4488
206,1.15,-0.34,0.98,1.03,18017,17748
206.5,1.16,-0.45,1.08,1.14,20537,4404
207,1.26,-0.49,1.2,1.25,3983,9093
207.5,1.4,-0.52,1.32,1.38,1086,4497
208,1.54,-0.55,1.46,1.51,26151,7104
208.5,1.69,-0.58,1.61,1.67,4422,3495
208.8,4.43,0,0,0,1,3
209,1.82,-0.68,1.78,1.84,9154,4683
209.5,2.06,-0.7,1.95,2.02,4865,4249
210,2.2,-0.76,2.2,2.23,4141,14942
210.5,2.54,-0.79,2.37,2.46,2850,265
211,2.83,-0.66,2.62,2.71,1116,1036
211.5,3.22,-0.59,2.89,2.99,37,211
212,3.32,-0.84,3.17,3.3,253,920
212.5,3.56,-0.95,3.46,3.63,3,85
213,4.37,-0.35,3.81,4,109,8
214,4.94,-0.81,4.59,4.81,18,62
214.5,6.04,0,5.02,5.25,22,23
215,5.7,-0.91,5.52,5.7,10378,20262
215.5,6.38,-0.35,5.93,6.17,24,29
216,7.2,-1.29,6.4,6.66,23,5
216.5,6.89,-1.16,6.88,7.13,23,62
217.5,9.54,0,7.85,8.11,1,48
218.5,9.22,0,8.84,9.1,1,1
219,10.46,0,9.33,9.6,1,80
220,11.36,0,10.33,10.59,6,91
225,18.35,0,15.31,15.59,1,16
